Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
91204;Écharcon;107;18;153;26;118;20;204;35;1,71
77164;Échouboulains;100;25;122;30;87;22;93;23;1,43
95205;Écouen;1155;23;1222;24;1005;20;1643;33;1,63
77167;Égligny;54;24;79;35;49;22;43;19;1,36
91207;Égly;1285;33;951;24;757;19;901;23;1,31
77168;Égreville;482;31;465;30;273;18;336;22;1,32
78208;Élancourt;3474;20;3433;20;3235;19;7340;42;1,84
78209;Émancé;86;14;121;20;124;20;286;46;1,98
77169;Émerainville;1350;25;1015;19;1081;20;1935;36;1,67
78217;Épône;1228;26;1176;25;737;16;1514;33;1,56
95212;Épiais-lès-Louvres;20;25;17;21;22;27;22;27;1,56
95213;Épiais-Rhus;91;20;92;20;84;19;185;41;1,81
95214;Épinay-Champlâtreux;10;21;10;21;11;23;17;35;1,72
91215;Épinay-sous-Sénart;2685;33;1851;23;1624;20;1910;24;1,35
91216;Épinay-sur-Orge;2058;26;1545;19;1341;17;3110;39;1,7
93031;Épinay-sur-Seine;14726;41;6790;19;6964;19;7416;21;1,2
95218;Éragny;2790;24;2528;22;2177;19;3996;35;1,65
91223;Étampes;6289;37;3789;22;2764;16;4001;24;1,26
91225;Étiolles;275;12;321;14;454;20;1231;54;2,16
91226;Étréchy;1257;26;1298;26;923;19;1430;29;1,51
77173;Étrépilly;140;23;218;36;117;19;130;21;1,37
78227;Évecquemont;84;14;148;25;110;19;240;41;1,86
91228;Évry;12360;29;7999;19;8609;20;13657;32;1,55
77175;Évry-Grégy-sur-Yerre;364;19;452;24;391;20;708;37;1,75
95229;Ézanville;1826;27;1604;23;1273;19;2138;31;1,54
91001;Abbéville-la-Rivière;48;22;55;26;58;27;54;25;1,55
95002;Ableiges;145;18;209;27;147;19;286;36;1,73
78003;Ablis;530;23;644;27;421;18;755;32;1,59
94001;Ablon-sur-Seine;1187;29;794;20;895;22;1170;29;1,51
78005;Achères;3852;27;3451;24;2443;17;4632;32;1,54
77001;Achères-la-Forêt;163;19;173;21;167;20;338;40;1,81
78006;Adainville;135;23;113;20;121;21;210;36;1,7
78007;Aigremont;85;12;73;10;100;14;480;65;2,33
95008;Aincourt;213;30;179;25;125;18;186;26;1,39
94002;Alfortville;9006;29;5305;17;5144;17;11429;37;1,62
78009;Allainville;53;23;82;36;41;18;51;22;1,38
95011;Ambleville;79;28;86;30;51;18;69;24;1,38
95012;Amenucourt;30;20;51;34;35;23;33;22;1,46
77002;Amillis;180;29;171;28;119;19;145;24;1,38
77003;Amponville;60;22;66;24;55;20;89;33;1,63
78013;Andelu;49;15;73;23;60;19;135;43;1,9
95014;Andilly;431;23;329;18;324;17;783;42;1,78
78015;Andrésy;1680;18;1669;18;1647;18;4205;46;1,92
77004;Andrezel;54;24;65;29;50;22;57;25;1,48
91016;Angerville;922;32;938;32;548;19;493;17;1,21
91017;Angervilliers;300;25;271;22;212;17;430;35;1,61
77005;Annet-sur-Marne;409;18;545;24;523;23;786;35;1,75
92002;Antony;7425;17;5606;13;6175;14;24292;56;2,09
77006;Arbonne-la-Forêt;160;21;222;29;152;20;227;30;1,59
94003;Arcueil;3917;26;2456;17;2378;16;6047;41;1,72
95018;Argenteuil;25967;35;16122;22;12570;17;19456;26;1,34
77007;Argentières;65;24;66;24;60;22;85;31;1,61
77008;Armentières-en-Brie;266;36;166;22;141;19;167;23;1,29
95019;Arnouville;3864;40;2268;23;1517;16;2037;21;1,18
78020;Arnouville-lès-Mantes;112;17;164;25;134;21;242;37;1,78
91021;Arpajon;2243;29;1865;24;1289;17;2223;29;1,45
91022;Arrancourt;22;21;30;28;15;14;39;37;1,67
95023;Arronville;102;21;119;24;112;23;162;33;1,69
95024;Arthies;46;23;41;21;52;27;57;29;1,62
77009;Arville;23;23;31;31;20;20;25;25;1,46
95026;Asnières-sur-Oise;453;24;472;25;347;18;615;33;1,6
92004;Asnières-sur-Seine;12878;22;8019;13;8762;15;30153;50;1,93
91027;Athis-Mons;7389;32;4556;20;4302;18;7039;30;1,46
95028;Attainville;255;21;329;26;250;20;408;33;1,65
77010;Aubepierre-Ozouer-le-Repos;148;23;199;31;111;17;191;29;1,52
78029;Aubergenville;2540;31;2436;29;1294;16;1990;24;1,33
93001;Aubervilliers;28438;49;9193;16;8794;15;11369;20;1,06
78030;Auffargis;196;13;276;19;260;18;724;50;2,05
77011;Aufferville;93;25;108;29;79;21;96;26;1,49
78031;Auffreville-Brasseuil;106;22;134;27;101;21;147;30;1,59
77012;Augers-en-Brie;58;26;60;27;56;25;51;23;1,46
93005;Aulnay-sous-Bois;22200;40;11209;20;9793;18;12721;23;1,25
78033;Aulnay-sur-Mauldre;163;20;190;23;138;17;329;40;1,77
77013;Aulnoy;67;25;71;26;55;20;76;28;1,5
78034;Auteuil;124;18;148;22;109;16;299;44;1,86
91035;Authon-la-Plaine;62;24;82;31;48;18;70;27;1,48
78036;Autouillet;55;16;63;18;64;18;169;48;1,98
91037;Auvernaux;42;17;79;33;52;21;70;29;1,62
91038;Auvers-Saint-Georges;172;19;233;25;191;21;326;35;1,72
95039;Auvers-sur-Oise;1166;23;1137;22;1004;20;1818;35;1,67
95040;Avernes;99;16;133;21;105;17;293;47;1,96
77014;Avon;2626;26;1949;19;1719;17;3971;39;1,7
91041;Avrainville;141;22;150;23;124;19;231;36;1,69
78053;Béhoust;71;22;65;20;59;18;135;41;1,79
95061;Béthemont-la-Forêt;37;12;57;19;53;18;152;51;2,08
77015;Baby;13;18;28;39;12;17;18;25;1,48
77016;Bagneaux-sur-Loing;502;41;377;31;192;16;150;12;0,99
92007;Bagneux;7776;29;5265;20;4655;17;9234;34;1,56
93006;Bagnolet;9105;36;4163;17;4202;17;7674;31;1,44
95042;Baillet-en-France;336;23;358;25;274;19;474;33;1,62
78043;Bailly;285;11;247;9;419;16;1742;65;2,36
77018;Bailly-Romainvilliers;724;15;804;17;1091;23;2115;45;1,98
91044;Ballainvilliers;609;20;618;20;601;19;1278;41;1,81
91045;Ballancourt-sur-Essonne;1765;32;1432;26;969;18;1310;24;1,34
77019;Balloy;73;30;77;32;43;18;51;21;1,31
77020;Bannost-Villegagnon;116;25;153;33;85;18;113;24;1,41
95046;Banthelu;25;24;21;20;25;24;35;33;1,67
77021;Barbey;22;20;43;39;27;25;17;16;1,37
77022;Barbizon;194;21;162;18;174;19;395;43;1,85
77023;Barcy;46;23;52;26;56;28;47;23;1,51
77024;Bassevelle;63;25;83;33;50;20;55;22;1,39
91047;Baulne;222;23;271;28;197;20;290;30;1,58
78048;Bazainville;180;18;212;21;196;20;412;41;1,84
78049;Bazemont;199;17;227;20;180;16;547;47;1,93
77025;Bazoches-lès-Bray;254;38;206;31;112;17;95;14;1,07
78050;Bazoches-sur-Guyonne;43;10;76;18;84;20;225;53;2,17
95051;Beauchamp;1455;23;1474;23;1151;18;2286;36;1,67
77026;Beauchery-Saint-Martin;86;31;66;24;47;17;77;28;1,42
77027;Beaumont-du-Gâtinais;261;31;284;34;142;17;146;18;1,22
95052;Beaumont-sur-Oise;2083;31;1712;25;1238;18;1773;26;1,39
77029;Beauvoir;30;19;61;39;27;17;37;24;1,45
95055;Bellefontaine;141;38;73;20;54;15;104;28;1,34
77030;Bellot;138;25;180;32;115;20;130;23;1,41
95056;Belloy-en-France;361;24;393;26;265;18;481;32;1,58
78057;Bennecourt;368;27;411;30;250;18;328;24;1,38
77031;Bernay-Vilbert;142;24;160;26;134;22;168;28;1,54
95058;Bernes-sur-Oise;558;32;523;30;288;16;388;22;1,28
95059;Berville;44;18;62;25;50;20;93;37;1,76
95060;Bessancourt;1201;24;1209;24;942;19;1673;33;1,61
77032;Beton-Bazoches;219;35;215;34;115;18;85;13;1,09
