codgeo;nom;DEP;chomage;entrep;salary;DEP;Distance;
78003;Ablis;15,9;6,6;278;15,9;78;0,594575016;
78005;Ach√®res;78;6,6;595;15,8;78;0,284558214;
78015;Andrésy;19,2;6,6;460;19,2;78;0,324878951;
78029;Aubergenville;78;6,6;450;14,5;78;0,511898394;
78043;Bailly;26,7;6,6;284;26,7;78;0,268642745;
78062;Beynes;18,5;6,6;369;18,5;78;0,478910942;
78073;Bois-d'Arcy;17,4;6,6;501;17,4;78;0,333307239;
78089;Bonnières-sur-Seine;13,7;6,6;336;13,7;78;0,795846363;
78090;Bouafle;17,9;6,6;258;17,9;78;0,464190422;
78092;Bougival;24,6;6,6;522;24,6;78;0,211438546;
78117;Buc;78;6,6;486;23,4;78;0,239197392;
78118;Buchelay;15,3;6,6;315;15,3;78;0,686901045;
78124;Carri√®res-sur-Seine;78;6,6;624;22;78;0,180186501;
78123;Carrières-sous-Poissy;15,5;6,6;466;15,5;78;0,332681128;
78133;Chambourcy;33,2;6,6;345;33,2;78;0,318453202;
78138;Chanteloup-les-Vignes;13,8;6,6;371;13,8;78;0,339692036;
78146;Chatou;24,6;6,6;1170;24,6;78;0,199585156;
78160;Chevreuse;24,1;6,6;397;24,1;78;0,344269098;
78168;Coignières;13,9;6,6;912;13,9;78;0,447158361;
78172;Conflans-Sainte-Honorine;78;6,6;1385;17,4;78;0,289624424;
78190;Croissy-sur-Seine;33,6;6,6;467;33,6;78;0,214891499;
78206;Ecquevilly;17,2;6,6;272;17,2;78;0,438629319;
78208;Élancourt;16,6;6,6;787;16,6;78;0,395525338;
78233;Feucherolles;39,4;6,6;266;39,4;78;0,369925451;
78238;Flins-sur-Seine;15,5;6,6;252;15,5;78;0,489527407;
78239;Follainville-Dennemont;15,6;6,6;168;15,6;78;0,662269932;
78242;Fontenay-le-Fleury;17,3;6,6;449;17,3;78;0,304267817;
78255;Freneuse;14,3;6,6;259;14,3;78;0,764040003;
78263;Gambais;22,6;6,6;273;22,6;78;0,676321263;
78265;Garancières;19,5;6,6;255;19,5;78;0,591233789;
78267;Gargenville;15,4;6,6;383;15,4;78;0,555953427;
78291;Guerville;16,6;6,6;236;16,6;78;0,615995647;
78297;Guyancourt;78;6,6;845;17,9;78;0,284331843;
78299;Hardricourt;16,0;6,6;257;16,0;78;0,487643555;
78310;Houdan;14,7;6,6;414;14,7;78;0,754002158;
78311;Houilles;19,2;6,6;1270;19,2;78;0,177152118;
78314;Issou;14,9;6,6;217;14,9;78;0,575377136;
78321;Jouars-Pontchartrain;22,3;6,6;354;22,3;78;0,445429131;
78322;Jouy-en-Josas;27,7;6,6;479;27,7;78;0,205568892;
78327;Juziers;16,9;6,6;236;16,9;78;0,52912145;
78224;L'Étang-la-Ville;35,0;6,6;230;35,0;78;0,288652243;
78126;La Celle-Saint-Cloud;78;6,6;767;25,2;78;0,213706437;
78513;La Queue-les-Yvelines;78;6,6;228;19,1;78;0,583559674;
78644;La Verrière;13,6;6,6;263;13,6;78;0,409570107;
78158;Le Chesnay-Rocquencourt;25,4;6,6;1342;25,4;78;0,2202115;
78396;Le Mesnil-le-Roi;27,2;6,6;358;27,2;78;0,237907533;
