Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note;salaire
93027;La Courneuve;14049;51;4447;16;4251;15;4807;17;0,97;10,9
91286;Grigny;7602;44;3487;20;2977;17;3041;18;1,08;11,2
95268;Garges-lès-Gonesse;12832;48;5160;19;4328;16;4652;17;1,02;11,2
93008;Bobigny;16459;49;5966;18;5247;16;6157;18;1,04;11,3
93079;Villetaneuse;3860;47;1592;19;1349;16;1439;17;1,02;11,3
93001;Aubervilliers;28438;49;9193;16;8794;15;11369;20;1,06;11,4
95680;Villiers-le-Bel;7413;42;3589;20;3290;19;3292;19;1,15;11,4
93014;Clichy-sous-Bois;9632;54;3124;17;2814;16;2393;13;0,88;11,5
93072;Stains;11451;45;4972;20;4899;19;3908;15;1,03;11,5
93059;Pierrefitte-sur-Seine;8840;47;3699;20;3203;17;3227;17;1,05;11,6
95585;Sarcelles;15995;44;7108;20;6533;18;6772;19;1,13;11,7
93030;Dugny;2609;38;1679;24;1337;19;1272;18;1,16;11,9
77305;Montereau-Fault-Yonne;6171;48;2884;22;1994;15;1870;14;0,94;12,1
94074;Valenton;3750;40;2239;24;1709;18;1782;19;1,17;12,1
94078;Villeneuve-Saint-Georges;9537;43;4513;21;3757;17;4194;19;1,12;12,1
78621;Trappes;8478;41;4681;23;3511;17;4011;19;1,14;12,3
93007;Le Blanc-Mesnil;16697;45;7587;21;6215;17;6373;17;1,06;12,3
93071;Sevran;13529;41;7008;21;6013;18;6238;19;1,14;12,3
77051;Bray-sur-Seine;719;42;438;26;244;14;294;17;1,05;12,4
95280;Goussainville;9116;45;4479;22;3238;16;3212;16;1,02;12,4
78440;Les Mureaux;9535;44;4260;20;3424;16;4215;20;1,12;12,5
93031;Épinay-sur-Seine;14726;41;6790;19;6964;19;7416;21;1,2;12,5
95277;Gonesse;6758;39;3695;21;3283;19;3731;21;1,22;12,5
95487;Persan;3379;40;2140;25;1467;17;1413;17;1,1;12,5
91235;Fleury-Mérogis;3551;40;1914;22;1679;19;1742;20;1,2;12,6
93013;Le Bourget;4661;42;1967;18;1961;17;2629;23;1,21;12,6
93029;Drancy;21435;45;9926;21;7915;16;8868;18;1,07;12,6
77131;Coulommiers;4187;38;3036;28;1818;17;1926;18;1,16;12,7
77257;Lizy-sur-Ourcq;986;39;767;31;411;16;345;14;1,05;12,7
91174;Corbeil-Essonnes;11805;34;7374;21;6537;19;8837;26;1,37;12,7
91215;Épinay-sous-Sénart;2685;33;1851;23;1624;20;1910;24;1,35;12,7
93066;Saint-Denis;31888;43;11377;15;11812;16;18324;25;1,22;12,7
77333;Nemours;3861;41;2242;24;1607;17;1612;17;1,09;12,8
77385;Rebais;730;45;432;27;230;14;219;14;0,97;12,8
93010;Bondy;15153;42;6552;18;6441;18;7527;21;1,17;12,8
77285;Le Mée-sur-Seine;4668;34;3286;24;2763;20;2832;21;1,27;12,9
78361;Mantes-la-Jolie;12985;43;5609;19;4668;16;6656;22;1,17;12,9
94011;Bonneuil-sur-Marne;4801;41;2717;23;1839;16;2436;21;1,18;12,9
77284;Meaux;12433;34;8283;23;6647;18;9270;25;1,34;13
91228;Évry;12360;29;7999;19;8609;20;13657;32;1,55;13
92036;Gennevilliers;12782;40;6115;19;5364;17;7327;23;1,22;13
77327;Nangis;2096;36;1652;28;1045;18;1084;18;1,18;13,1
77379;Provins;3664;42;2023;23;1489;17;1634;19;1,14;13,1
77482;Varennes-sur-Seine;1006;40;739;30;353;14;397;16;1,06;13,1
92078;Villeneuve-la-Garenne;6364;40;3331;21;2898;18;3442;21;1,2;13,1
93053;Noisy-le-Sec;10859;37;5402;19;5162;18;7583;26;1,33;13,1
77079;Champagne-sur-Seine;1501;34;1309;30;747;17;827;19;1,21;13,2
77288;Melun;8943;33;5534;20;4702;17;8103;30;1,44;13,2
78335;Limay;3915;35;2751;25;2058;19;2314;21;1,26;13,2
91223;Étampes;6289;37;3789;22;2764;16;4001;24;1,26;13,2
91016;Angerville;922;32;938;32;548;19;493;17;1,21;13,3
91511;Pussay;588;37;438;27;264;17;305;19;1,18;13,3
93078;Villepinte;9239;38;5470;23;4443;18;5123;21;1,22;13,3
94054;Orly;5737;37;3108;20;2781;18;3738;24;1,28;13,3
77183;La Ferté-sous-Jouarre;2363;34;1779;26;1191;17;1602;23;1,29;13,5
77458;Souppes-sur-Loing;1458;38;1118;29;577;15;686;18;1,13;13,5
93005;Aulnay-sous-Bois;22200;40;11209;20;9793;18;12721;23;1,25;13,5
94081;Vitry-sur-Seine;22400;36;11760;19;10224;16;18260;29;1,38;13,5
95052;Beaumont-sur-Oise;2083;31;1712;25;1238;18;1773;26;1,39;13,5
77061;Cannes-Écluse;568;31;618;34;297;16;344;19;1,23;13,6
77152;Dammarie-les-Lys;4970;33;3290;22;2586;17;4323;28;1,4;13,6
78644;La Verrière;1574;39;886;22;664;16;962;24;1,26;13,6
93055;Pantin;13561;35;5491;14;6049;16;13605;35;1,51;13,6
95019;Arnouville;3864;40;2268;23;1517;16;2037;21;1,18;13,6
77159;Donnemarie-Dontilly;672;32;634;30;376;18;445;21;1,29;13,7
78089;Bonnières-sur-Seine;1131;35;975;30;529;16;604;19;1,19;13,7
91692;Les Ulis;5171;32;3248;20;2773;17;5131;31;1,47;13,7
