Ann�e;Ville;Code commune;Acad�mie;Etablissement;Taux Brut de R�ussite Total s�ries;Pourcentage resultats par ecole;P bac;Taux mention au bac;Pourcentage mention par lyc�e;P commune
2018;Paris 3e  Arrondissement;75103;PARIS;LYCEE LOUISE WEISS (GENERAL ET TECHNO,);91;22;94,32;45;11;67,04
2018;Paris 4e  Arrondissement;75104;PARIS;LYCEE FERNAND ET NADIA LEGER (GENERAL ET TECHNO,);98;52;98,47;84;45;84,47
2018;Paris 5e  Arrondissement;75105;PARIS;LYCEE JEAN JAURES (GENERAL ET TECHNO,);100;36;100;97;35;94,7
2018;Paris 6e  Arrondissement;75106;PARIS;LYCEE RENE CASSIN;97;29;97,39;80;24;70,8
2018;Paris 7e  Arrondissement;75107;PARIS;LYCEE MARCEL PAGNOL;98;98;98;74;74;74
2018;Paris 8e  Arrondissement;75108;PARIS;LYCEE VINCENT VAN GOGH (GENERAL ET TECHNO,);97;33;97,66;80;27;76,7
2018;Paris 9e  Arrondissement;75109;PARIS;LYCEE LE CORBUSIER;100;17;90,07;92;16;46,75
2018;Paris 10e  Arrondissement;75110;PARIS;LYCEE EVARISTE GALOIS (GENERAL ET TECHNO,);87;87;87;23;23;23
2018;Paris 11e  Arrondissement;75111;PARIS;LYCEE EUGENE RONCERAY (GENERAL ET TECHNO,);91;29;86,24;42;13;25,68
2018;Paris 12e  Arrondissement;75112;PARIS;LYCEE ALBERT CAMUS;97;34;88,6;59;21;42,15
2018;Paris 13e  Arrondissement;75113;PARIS;LYCEE JEAN-PIERRE TIMBAUD (GENERAL ET TECHNO,);99;34;92,28;81;28;53,56
2018;Paris 14e  Arrondissement;75114;PARIS;LYCEE MARTIN LUTHER KING;88;30;85,2;39;13;30,95
2018;Paris 15e  Arrondissement;75115;PARIS;LYCEE GALILEE;98;54;89,15;70;39;50,53
2018;Paris 16e  Arrondissement;75116;PARIS;LYCEE LA FAYETTE (GENERAL ET TECHNO,);87;14;94,55;35;6;66,5
2018;Paris 17e  Arrondissement;75117;PARIS;LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO,);98;46;95,59;79;37;65,35
2018;Paris 18e  Arrondissement;75118;PARIS;LYCEE GASTON BACHELARD;93;22;82,36;55;13;34,48
2018;Paris 19e  Arrondissement;75119;PARIS;LYCEE SAMUEL DE CHAMPLAIN;84;5;86,27;29;2;38,63
2018;Paris 20e  Arrondissement;75120;PARIS;LYCEE RENE AUFFRAY (GENERAL ET TECHNO,);95;51;95;67;36;62,86
2018;Avon;77014;CRETEIL;LYCEE GUY DE MAUPASSANT;90;90;90;41;41;41
2018;Brie-Comte-Robert;77053;CRETEIL;LYCEE GALILEE;91;91;91;52;52;52
2018;Bussy-Saint-Georges;77058;CRETEIL;LYCEE JULES FERRY;93;93;93;51;51;51
2018;Cesson;77067;CRETEIL;LYCEE DU GUE A TRESMES (GENERAL ET TECHNO,);95;95;95;63;63;63
2018;Champagne-sur-Seine;77079;CRETEIL;LYCEE ROBERT DOISNEAU (GENERAL ET TECHNO,);94;94;94;51;51;51
2018;Champs-sur-Marne;77083;CRETEIL;LYCEE DE COULOMMIERS (GENERAL ET TECHNO,);90;90;90;45;45;45
2018;Chelles;77108;CRETEIL;LYCEE LUCIE AUBRAC;88;55;87,63;41;26;39,15
2018;Combs-la-Ville;77122;CRETEIL;LYCEE ANTOINE DE SAINT EXUPERY (GENERAL ET TECHNO,);93;93;93;50;50;50
2018;Congis-sur-Thérouanne;77126;CRETEIL;LYCEE EDOUARD BRANLY (GENERAL ET TECHNO,);96;96;96;58;58;58
2018;Coulommiers;77131;CRETEIL;LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO,);79;79;79;27;27;27
2018;Dammarie-les-Lys;77152;CRETEIL;LYCEE LEON BLUM (GENERAL ET TECHNO,);92;92;92;43;43;43
2018;Dammartin-en-Goële;77153;CRETEIL;LYCEE FREDERIC JOLIOT CURIE (GENERAL ET TECHNO,);90;90;90;43;43;43
2018;La Ferté-sous-Jouarre;77183;CRETEIL;LYCEE CHARLOTTE DELBO (GENERAL ET TECHNO,);78;78;78;24;24;24
2018;Fontainebleau;77186;CRETEIL;LYCEE CAMILLE SAINT-SAENS;92;49;93,88;47;25;57,34
2018;Lagny-sur-Marne;77243;CRETEIL;LYCEE NIKOLA TESLA (GENERAL ET TECHNO,);88;88;88;41;41;41
2018;Lognes;77258;CRETEIL;LYCEE EUGENE DELACROIX (GENERAL ET TECHNO,);96;96;96;58;58;58
2018;Longperrier;77259;CRETEIL;LYCEE PAUL LE ROLLAND (GENERAL ET TECHNO,);78;78;78;22;22;22
2018;Meaux;77284;CRETEIL;LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO,);82;28;83,69;36;12;35,34
2018;Le Mée-sur-Seine;77285;CRETEIL;LYCEE MAURICE ELIOT;70;70;70;22;22;22
2018;Melun;77288;CRETEIL;LYCEE JACQUES FEYDER;84;49;80,64;36;21;34,32
2018;Mitry-Mory;77294;CRETEIL;LYCEE VAN GOGH;83;83;83;37;37;37
2018;Moissy-Cramayel;77296;CRETEIL;LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO,);90;90;90;43;43;43
2018;Montereau-Fault-Yonne;77305;CRETEIL;LYCEE GEORGES BRASSENS (GENERAL ET TECHNO,);82;82;82;32;32;32
2018;Nangis;77327;CRETEIL;LYCEE PARC DES LOGES;87;87;87;38;38;38
2018;Nemours;77333;CRETEIL;LYCEE FRANCOIS COUPERIN;89;89;89;42;42;42
2018;Noisiel;77337;CRETEIL;LYCEE INTERNATIONAL FRANCOIS 1ER;88;52;89,23;36;21;40,51
2018;Ozoir-la-Ferrière;77350;CRETEIL;LYCEE CHARLES BAUDELAIRE (GENERAL ET TECHNO,);100;100;100;56;56;56
2018;Pontault-Combault;77373;CRETEIL;LYCEE JEAN MONNET (GENERAL ET TECHNO,);92;92;92;46;46;46
2018;Provins;77379;CRETEIL;LYCEE FREDERIC MISTRAL (GENERAL ET TECHNO,);86;33;87,24;41;16;37,28
2018;La Rochette;77389;CRETEIL;LYCEE SIMONE DE BEAUVOIR;100;100;100;48;48;48
2018;Roissy-en-Brie;77390;CRETEIL;LYCEE GALILEE (GENERAL ET TECHNO,);91;91;91;46;46;46
2018;Rozay-en-Brie;77393;CRETEIL;LYCEE VALLEE DE CHEVREUSE;86;86;86;32;32;32
2018;Savigny-le-Temple;77445;CRETEIL;LYCEE RENE CASSIN;77;5;87,23;41;3;35,42
2018;Serris;77449;CRETEIL;LYCEE D'HOTELLERIE ET DE TOURISME (GENERAL ET TECHNO,);91;91;91;57;57;57
2018;Sourdun;77459;CRETEIL;LYCEE DE VILLAROY;98;98;98;55;55;55
2018;Torcy;77468;CRETEIL;LYCEE MONTESQUIEU;76;76;76;29;29;29
2018;Tournan-en-Brie;77470;CRETEIL;LYCEE EUGENE IONESCO (GENERAL ET TECHNO,);93;93;93;47;47;47
2018;Vaux-le-Pénil;77487;CRETEIL;LYCEE FERNAND LEGER (GENERAL ET TECHNO,);93;93;93;43;43;43
2018;Achères;78005;VERSAILLES;LYCEE ROMAIN ROLLAND;84;84;84;41;41;41
2018;Aubergenville;78029;VERSAILLES;LYCEE DE L HAUTIL (GENERAL ET TECHNO,);92;92;92;40;40;40
2018;Buc;78117;VERSAILLES;LYCEE FRAGONARD;100;100;100;97;97;97
2018;Carrières-sur-Seine;78124;VERSAILLES;LYCEE PIERRE CORNEILLE (GENERAL ET TECHNO,);89;89;89;55;55;55
2018;La Celle-Saint-Cloud;78126;VERSAILLES;LYCEE JACQUES BREL;92;92;92;53;53;53
2018;Conflans-Sainte-Honorine;78172;VERSAILLES;LYCEE SAMUEL BECKETT;84;84;84;35;35;35
2018;Guyancourt;78297;VERSAILLES;LYCEE JEAN MONNET (GENERAL ET TECHNO,);98;17;92,19;54;9;46,53
