Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat
0920143F;Lycée d'enseignement général La Folie Saint-James;LYCEE D'ENSEIGNEMENT GENERAL;LA FOLIE SAINT-JAMES;Public;41 rue DE LONGCHAMP;;;92200;NEUILLY SUR SEINE;Neuilly-sur-Seine;645459.0;6864944.5;EPSG:2154;48.88220666780864;2.256292206042235;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;92;11;25;92051;Hauts-de-Seine;Ile-de-France;Versailles;48.8822066678,2.25629220604;99;SANS OBJET
0782562L;Lycée d'enseignement général Hoche;LYCEE D'ENSEIGNEMENT GENERAL;HOCHE;Public;73 avenue DE ST CLOUD;;;78000;VERSAILLES;Versailles;636644.7;6856700.6;EPSG:2154;48.80726428592536;2.1373395122127805;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;78;11;25;78646;Yvelines;Ile-de-France;Versailles;48.8072642859,2.13733951221;99;SANS OBJET
0920142E;Lycée d'enseignement général Louis Pasteur;LYCEE D'ENSEIGNEMENT GENERAL;LOUIS PASTEUR;Public;17 boulevard D'INKERMANN;;;92200;NEUILLY SUR SEINE;Neuilly-sur-Seine;646723.6;6865361.6;EPSG:2154;48.88606335197952;2.2734826712483382;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;92;11;25;92051;Hauts-de-Seine;Ile-de-France;Versailles;48.886063352,2.27348267125;99;SANS OBJET
0920146J;Lycée d'enseignement général Marie Curie;LYCEE D'ENSEIGNEMENT GENERAL;MARIE CURIE;Public;1 rue CONSTANT PILATE;;;92331;SCEAUX CEDEX;Sceaux;647642.5;6853269.9;EPSG:2154;48.777397573819854;2.2875006199979406;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;92;11;25;92071;Hauts-de-Seine;Ile-de-France;Versailles;48.7773975738,2.28750062;99;SANS OBJET
0783549J;Lycée d'enseignement général International;LYCEE D'ENSEIGNEMENT GENERAL;INTERNATIONAL;Public;Rue DU FER A CHEVAL;;5230;78101;ST GERMAIN EN LAYE CEDEX;Saint-Germain-en-Laye;631197.2;6866546.4;EPSG:2154;48.89524558071315;2.0615786028393637;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;78;11;25;78551;Yvelines;Ile-de-France;Versailles;48.8952455807,2.06157860284;99;SANS OBJET
0783548H;Lycée d'enseignement général Franco Allemand;LYCEE D'ENSEIGNEMENT GENERAL;FRANCO ALLEMAND;Public;5  RUE COLLIN MAMET;;;78530;BUC;Buc;635456.9;6852593.1;EPSG:2154;48.77020693587828;2.1217894796755967;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;78;11;25;78117;Yvelines;Ile-de-France;Versailles;48.7702069359,2.12178947968;99;SANS OBJET
0922615T;Lycée d'enseignement général Lucie Aubrac;LYCEE D'ENSEIGNEMENT GENERAL;LUCIE AUBRAC;Public;13 rue de l'Industrie;;;92400;COURBEVOIE;Courbevoie;645447.5;6866089.6;EPSG:2154;48.89250307350374;2.2559882850870507;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;92;11;25;92026;Hauts-de-Seine;Ile-de-France;Versailles;48.8925030735,2.25598828509;99;SANS OBJET
0750654D;Lycée général Henri IV;LYCEE GENERAL;HENRI IV;Public;23 rue Clovis;;;75005;PARIS;Paris  5e  Arrondissement;652106.2;6860899.4;EPSG:2154;48.84635844973404;2.347383254262051;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75105;Paris;Ile-de-France;Paris;48.8463584497,2.34738325426;99;SANS OBJET
0750648X;Lycée général Victor Hugo;LYCEE GENERAL;VICTOR HUGO;Public;27 rue de Sévigné;;;75003;PARIS;Paris  3e  Arrondissement;653274.2;6862129.2;EPSG:2154;48.857503740933986;2.3631629610031424;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75103;Paris;Ile-de-France;Paris;48.8575037409,2.363162961;99;SANS OBJET
0750656F;Lycée général Lavoisier;LYCEE GENERAL;LAVOISIER;Public;17 rue Henri Barbusse;;;75005;PARIS;Paris  5e  Arrondissement;651508.9;6860460.0;EPSG:2154;48.84236225567719;2.3392947221317177;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75105;Paris;Ile-de-France;Paris;48.8423622557,2.33929472213;99;SANS OBJET
0750662M;Lycée général Victor Duruy;LYCEE GENERAL;VICTOR DURUY;Public;33 boulevard des Invalides;;;75007;PARIS;Paris  7e  Arrondissement;649724.2;6861579.3;EPSG:2154;48.852291291633264;2.3148465395068114;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75107;Paris;Ile-de-France;Paris;48.8522912916,2.31484653951;99;SANS OBJET
0750673Z;Lycée général Colbert;LYCEE GENERAL;COLBERT;Public;27 rue de Chateau Landon;;;75010;PARIS;Paris 10e  Arrondissement;653314.9;6864930.4;EPSG:2154;48.88269734321177;2.3634098633460203;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75110;Paris;Ile-de-France;Paris;48.8826973432,2.36340986335;99;SANS OBJET
0750682J;Lycée général Rodin;LYCEE GENERAL;RODIN;Public;19 rue Corvisart;;;75013;PARIS;Paris 13e  Arrondissement;652079.0;6859356.7;EPSG:2154;48.832482864176264;2.347186422634152;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75113;Paris;Ile-de-France;Paris;48.8324828642,2.34718642263;99;SANS OBJET
0750684L;Lycée général Gabriel Fauré;LYCEE GENERAL;GABRIEL FAURE;Public;81 avenue de Choisy;;;75013;PARIS;Paris 13e  Arrondissement;653114.8;6858410.6;EPSG:2154;48.82405063234738;2.3614004282793433;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75113;Paris;Ile-de-France;Paris;48.8240506323,2.36140042828;99;SANS OBJET
0750669V;Lycée général Jules Ferry;LYCEE GENERAL;JULES FERRY;Public;77 boulevard de Clichy;;;75009;PARIS;Paris  9e  Arrondissement;650799.2;6865103.7;EPSG:2154;48.88406846998265;2.3290877341040805;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75109;Paris;Ile-de-France;Paris;48.88406847,2.3290877341;99;SANS OBJET
0750679F;Lycée général Paul Valéry;LYCEE GENERAL;PAUL VALERY;Public;38 boulevard Soult;;;75012;PARIS;Paris 12e  Arrondissement;656635.5;6860138.2;EPSG:2154;48.8398336638599;2.4091761767704383;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75112;Paris;Ile-de-France;Paris;48.8398336639,2.40917617677;99;SANS OBJET
0750655E;Lycée général Louis Le Grand;LYCEE GENERAL;LOUIS LE GRAND;Public;123 rue Saint-Jacques;;;75005;PARIS;Paris  5e  Arrondissement;651871.8;6861084.6;EPSG:2154;48.84800648364869;2.3441684293976905;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75105;Paris;Ile-de-France;Paris;48.8480064836,2.3441684294;99;SANS OBJET
0750652B;Lycée général Charlemagne;LYCEE GENERAL;CHARLEMAGNE;Public;14 rue Charlemagne;;;75004;PARIS;Paris  4e  Arrondissement;653074.6;6861767.7;EPSG:2154;48.85423829245597;2.360482586532018;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;1;75104;Paris;Ile-de-France;Paris;48.8542382925,2.36048258653;99;SANS OBJET
