Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;Code Insee;Coordonnées;Métropole
11;Île-de-France;95;2;21;612;Le Thillay;4154;42;4196;95612;49.004277001,2.46927524969;
11;Île-de-France;78;1;01;305;Herbeville;257;6;263;78305;48.9026044293,1.89020414118;
11;Île-de-France;91;2;15;086;Bondoufle;9132;131;9263;91086;48.6140476567,2.38002541357;
11;Île-de-France;94;3;02;016;Cachan;29932;326;30258;94016;48.7916121646,2.33153313164;Grand Paris
11;Île-de-France;91;1;08;390;Méréville;3160;49;3209;91390;48.3183780776,2.07369929257;
11;Île-de-France;94;1;96;068;Saint-Maur-des-Fossés;75285;896;76181;94068;48.7990677797,2.49386450452;Grand Paris
11;Île-de-France;95;3;05;323;Jouy-le-Moutier;16098;158;16256;95323;49.0113625056,2.03408317867;
11;Île-de-France;77;5;09;243;Lagny-sur-Marne;21302;328;21630;77243;48.8730701858,2.70978081313;
11;Île-de-France;91;3;12;377;Massy;48372;699;49071;91377;48.7277896426,2.27513131903;
11;Île-de-France;77;4;15;500;Villebéon;477;6;483;77500;48.2049138912,2.92837301126;
11;Île-de-France;78;2;09;168;Coignières;4332;27;4359;78168;48.7497670046,1.91381870273;
11;Île-de-France;77;1;21;315;Montry;3531;28;3559;77315;48.8859315574,2.82319777839;
11;Île-de-France;77;2;14;164;Échouboulains;552;13;565;77164;48.4637199643,2.9295993076;
11;Île-de-France;77;3;08;229;La Houssaye-en-Brie;1644;15;1659;77229;48.756188625,2.86795216078;
11;Île-de-France;77;1;12;291;Le Mesnil-Amelot;897;6;903;77291;49.0161420137,2.59606893654;
11;Île-de-France;95;3;05;218;Éragny;16496;211;16707;95218;49.0204587496,2.10136635847;
11;Île-de-France;77;5;09;062;Carnetin;453;2;455;77062;48.9042186439,2.69939855845;
11;Île-de-France;77;3;13;409;Saint-Germain-Laval;2813;80;2893;77409;48.4089652816,2.99481722359;
11;Île-de-France;77;3;18;519;Villiers-Saint-Georges;1212;21;1233;77519;48.6516910276,3.40775745476;
11;Île-de-France;78;1;02;089;Bonnières-sur-Seine;4575;44;4619;78089;49.0200145553,1.57058771832;
11;Île-de-France;77;4;07;339;Noisy-sur-École;1854;73;1927;77339;48.3776889866,2.50874542385;
11;Île-de-France;77;1;06;490;Vendrest;749;9;758;77490;49.0415084133,3.10843248735;
11;Île-de-France;78;2;01;366;Mareil-le-Guyon;358;11;369;78366;48.7910883719,1.85148876174;
11;Île-de-France;77;3;18;236;Jaulnes;376;8;384;77236;48.4144765757,3.27634735642;
11;Île-de-France;93;2;02;005;Aulnay-sous-Bois;82314;621;82935;93005;48.9458384367,2.49329041687;Grand Paris
11;Île-de-France;77;4;15;110;Chenou;311;1;312;77110;48.1650303616,2.65274445287;
11;Île-de-France;75;1;null;119;Paris 19e  Arrondissement;187156;1556;188712;75119;48.886868623,2.38469432787;Grand Paris
11;Île-de-France;77;1;12;273;Marchémoret;557;4;561;77273;49.0528552524,2.75169281381;
11;Île-de-France;77;1;06;290;Méry-sur-Marne;656;19;675;77290;48.9758033075,3.20315053013;
11;Île-de-France;95;2;14;026;Asnières-sur-Oise;2620;36;2656;95026;49.1407338587,2.3800597257;
11;Île-de-France;77;3;18;246;Léchelle;580;12;592;77246;48.5720242437,3.38931768623;
11;Île-de-France;92;1;03;014;Bourg-la-Reine;19881;364;20245;92014;48.7799073627,2.31643010763;Grand Paris
11;Île-de-France;77;2;19;326;Nandy;5846;75;5921;77326;48.5821287279,2.54782852721;
11;Île-de-France;78;1;02;597;Soindres;669;10;679;78597;48.9535424225,1.67168350661;
11;Île-de-France;75;1;null;109;Paris 9e  Arrondissement;59389;759;60148;75109;48.8768961624,2.33746024139;Grand Paris
11;Île-de-France;77;3;18;072;Chalautre-la-Grande;721;20;741;77072;48.5497596111,3.44637852602;
11;Île-de-France;94;2;14;058;Le Perreux-sur-Marne;33720;274;33994;94058;48.8423952383,2.50406848573;Grand Paris
11;Île-de-France;77;2;14;029;Beauvoir;202;3;205;77029;48.6420172822,2.86359124408;
11;Île-de-France;77;1;05;063;La Celle-sur-Morin;1306;16;1322;77063;48.7964965898,2.97175354301;
11;Île-de-France;77;5;09;155;Dampmart;3247;39;3286;77155;48.8943626322,2.74598280906;
11;Île-de-France;78;4;15;242;Fontenay-le-Fleury;13222;156;13378;78242;48.8177984988,2.04662335413;
11;Île-de-France;95;2;09;214;Épinay-Champlâtreux;67;0;67;95214;49.0900262096,2.40710033598;
